Ligand Name,Inchi Key,SMILES,Affinity Score,Binding Pose,Binding Center,Pose Score
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","1","3.126900 26.617996 -12.755863","0.7699999809265137",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","2","3.001136 26.718105 -12.540209","0.7699999809265137",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","3","2.894427 26.847408 -12.683418","0.7699999809265137",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","4","2.661095 26.464531 -12.592473","0.7699999809265137",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","5","2.632555 26.598614 -12.521677","0.7699999809265137",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","6","-23.270613 50.449665 -2.946791","0.7400000095367432",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","7","2.786414 26.579687 -12.571518","0.7699999809265137",
"lig3","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C[NH2+]C2=CONC2=O)COP(=O)(O)O","-7.889200210571289","8","3.019595 26.745441 -12.786036","0.7699999809265137",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","1","3.785950 25.830381 -11.946100","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","2","3.885569 25.786919 -12.080275","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","3","3.815844 25.913906 -11.793775","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","4","3.873025 25.887957 -11.834119","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","5","3.967100 25.909731 -11.840062","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","6","3.795700 25.795038 -11.951612","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","7","4.002462 25.854006 -12.063431","0.8100000023841858",
"lig1","DYDCUQKUCUHJBH-UWTATZPHSA-N","CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O","-6.915761470794678","8","3.960031 25.746994 -11.845294","0.8100000023841858",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","1","-23.334629 49.241913 -3.312386","0.6499999761581421",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","2","-22.246828 51.718430 -2.840000","0.6399999856948853",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","3","4.128371 27.851471 -12.855143","0.6499999761581421",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","4","-22.914356 49.250702 -2.478229","0.6399999856948853",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","5","-23.782499 48.556145 -2.561886","0.6399999856948853",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","6","3.313586 27.070271 -12.363786","0.6299999952316284",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","7","-23.470028 48.771156 -2.421157","0.6299999952316284",
"lig2","DYDCUQKUCUHJBH-UWTATZPHSA-N","C1[C@H](C(=O)NO1)N","-5.289236068725586","8","-23.937586 48.720470 -2.480214","0.6399999856948853",
